fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated,missing_matchlogs
Patrick van Aanholt,Patrick van Aanholt,100.0,496.0,,,
Charlie Adam,Charlie Adam,100.0,69.0,,,
Albert Adomah,Albert Adomah,100.0,3.0,,,
Adrián,Adrián San Miguel del Castillo,100.0,174.0,,,
Ibrahim Afellay,Ibrahim Afellay,100.0,21.0,,,
Benik Afobe,Benik Afobe,100.0,112.0,,,
Sergio Agüero,Sergio Agüero,100.0,715.0,,,
Dan Agyei,Daniel Agyei,86.0,3.0,1.0,,
Ola Aina,Ola Aina,100.0,105.0,,,
Nathan Aké,Nathan Aké,100.0,628.0,,,
Marc Albrighton,Marc Albrighton,100.0,434.0,,,
Toby Alderweireld,Toby Alderweireld,100.0,455.0,,,
Trent Alexander-Arnold,Trent Alexander-Arnold,100.0,1125.0,,,
Joe Allen,Joe Allen,100.0,227.0,,,
Dele Alli,Dele Alli,100.0,678.0,,,
Ryan Allsop,Ryan Allsop,100.0,3.0,,,
Marcos Alonso,Marcos Alonso,100.0,788.0,,,
Daniel Amartey,Daniel Amartey,100.0,206.0,,,
Jordi Amat,Jordi Amat,100.0,21.0,,,
Nordin Amrabat,Nordin Amrabat,100.0,71.0,,,
Victor Anichebe,Victor Anichebe,100.0,48.0,,,
Michail Antonio,Michail Antonio,100.0,839.0,,,
Ikechi Anya,Ikechi Anya,100.0,1.0,,,
Álvaro Arbeloa,Álvaro Arbeloa,100.0,0.0,,,
Scott Arfield,Scott Arfield,100.0,125.0,,,
Marko Arnautović,Marko Arnautovic,94.0,378.0,,,
Harry Arter,Harry Arter,100.0,159.0,,,
Joel Asoro,Joel Asoro,100.0,1.0,,,
Charlie Austin,Charlie Austin,100.0,185.0,,,
Daniel Ayala,Daniel Ayala,100.0,31.0,,,
André Ayew,André Ayew,100.0,177.0,,,
Jordan Ayew,Jordan Ayew,100.0,684.0,,,
César Azpilicueta,César Azpilicueta,100.0,878.0,,,
Eric Bailly,Eric Bailly,100.0,218.0,,,
Leighton Baines,Leighton Baines,100.0,238.0,,,
Patrick Bamford,Patrick Bamford,100.0,313.0,,,
Phil Bardsley,Phil Bardsley,100.0,173.0,,,
Ross Barkley,Ross Barkley,100.0,478.0,,,
Ashley Barnes,Ashley Barnes,100.0,440.0,,,
Antonio Barragán,Antonio Barragán,100.0,71.0,,,
Modou Barrow,Modou Barrow,100.0,34.0,,,
Gareth Barry,Gareth Barry,100.0,124.0,,,
Joey Barton,Joey Barton,100.0,37.0,,,
Borja Bastón,Borja Bastón,100.0,32.0,,,
Michy Batshuayi,Michy Batshuayi,100.0,190.0,,,
Asmir Begović,Asmir Begović,100.0,22.0,,,
Valon Behrami,Valon Behrami,100.0,48.0,,,
Héctor Bellerín,Héctor Bellerín,100.0,449.0,,,
Yohan Benalouane,Yohan Benalouane,100.0,28.0,,,
Christian Benteke,Christian Benteke,100.0,459.0,,,
Jonathan Benteke,Jonathan Benteke,100.0,1.0,,,
Saido Berahino,Saido Berahino,100.0,46.0,,,
Jóhann Berg Guðmundsson,Jóhann Berg Gudmundsson,96.0,47.0,,,
Ryan Bertrand,Ryan Bertrand,100.0,439.0,,,
Mame Biram Diouf,Mame Biram Diouf,100.0,150.0,,,
Daley Blind,Daley Blind,100.0,126.0,,,
Yannick Bolasie,Yannick Bolasie,100.0,80.0,,,
Wilfried Bony,Wilfried Bony,100.0,62.0,,,
Fabio Borini,Fabio Borini,100.0,49.0,,,
Artur Boruc,Artur Boruc,100.0,166.0,,,
Sofiane Boufal,Sofiane Boufal,100.0,129.0,,,
Jarrod Bowen,Jarrod Bowen,100.0,724.0,,,
George Boyd,George Boyd,100.0,92.0,,,
Robbie Brady,Robbie Brady,100.0,191.0,,,
Claudio Bravo,Claudio Bravo,100.0,94.0,,,
Miguel Britos,Miguel Britos,100.0,96.0,,,
Leon Britton,Leon Britton,100.0,42.0,,,
Chris Brunt,Chris Brunt,100.0,180.0,,,
Jack Butland,Jack Butland,100.0,177.0,,,
Sam Byram,Sam Byram,100.0,86.0,,,
Willy Caballero,Willy Caballero,100.0,104.0,,,
Yohan Cabaye,Yohan Cabaye,100.0,164.0,,,
Martín Cáceres,Martín Cáceres,100.0,2.0,,,
Gary Cahill,Gary Cahill,100.0,377.0,,,
Jonathan Calleri,Jonathan Calleri,100.0,23.0,,,
Dominic Calvert-Lewin,Dominic Calvert-Lewin,100.0,687.0,,,
Geoff Cameron,Geoff Cameron,100.0,91.0,,,
Fraizer Campbell,Fraizer Campbell,100.0,16.0,,,
Emre Can,Emre Can,100.0,196.0,,,
Étienne Capoue,Etienne Capoue,93.0,336.0,,,
Baily Cargill,Baily Cargill,100.0,1.0,,,
Michael Carrick,Michael Carrick,100.0,46.0,,,
Andy Carroll,Andy Carroll,100.0,181.0,,,
Tom Carroll,Tom Carroll,100.0,137.0,,,
Joel Castro Pereira,Joel Dinis Castro Pereira,95.0,6.0,,,
Craig Cathcart,Craig Cathcart,100.0,265.0,,,
Lee Cattermole,Lee Cattermole,100.0,12.0,,,
Santi Cazorla,Santiago Cazorla,90.0,38.0,,,
Petr Čech,Petr Cech,89.0,282.0,1.0,,
Nacer Chadli,Nacer Chadli,100.0,125.0,,,
Nathaniel Chalobah,Nathaniel Chalobah,100.0,72.0,,,
Calum Chambers,Calum Chambers,100.0,301.0,,,
Ben Chilwell,Ben Chilwell,100.0,604.0,,,
Lee Chung-yong,Chung-yong Lee,95.0,32.0,,,
Jordy Clasie,Jordy Clasie,100.0,38.0,,,
Adam Clayton,Adam Clayton,100.0,70.0,,,
Tom Cleverley,Tom Cleverley,100.0,219.0,,,
Gaël Clichy,Gaël Clichy,100.0,87.0,,,
Sam Clucas,Sam Clucas,100.0,162.0,,,
Nathaniel Clyne,Nathaniel Clyne,100.0,342.0,,,
Séamus Coleman,Seamus Coleman,93.0,597.0,,,
James Collins,James Collins,100.0,105.0,,,
Lewis Cook,Lewis Cook,100.0,261.0,,,
Steve Cook,Steve Cook,100.0,352.0,,,
Francis Coquelin,Francis Coquelin,100.0,59.0,,,
Jack Cork,Jack Cork,100.0,391.0,,,
Diego Costa,Diego Da Silva Costa,100.0,229.0,,,
Thibaut Courtois,Thibaut Courtois,100.0,277.0,,,
Philippe Coutinho,Philippe Coutinho,100.0,274.0,,,
Aaron Cresswell,Aaron Cresswell,100.0,641.0,,,
Peter Crouch,Peter Crouch,100.0,160.0,,,
Charlie Daniels,Charlie Daniels,100.0,275.0,,,
Scott Dann,Scott Dann,100.0,206.0,,,
Matteo Darmian,Matteo Darmian,100.0,111.0,,,
Ben Davies,Ben Davies,100.0,630.0,,,
Curtis Davies,Curtis Davies,100.0,38.0,,,
Tom Davies,Tom Davies,100.0,299.0,,,
Steven Davis,Steven Davis,100.0,157.0,,,
Craig Dawson,Craig Dawson,100.0,559.0,,,
Michael Dawson,Michael Dawson,100.0,46.0,,,
Kevin De Bruyne,Kevin De Bruyne,100.0,1322.0,,,
Mathieu Debuchy,Mathieu Debuchy,100.0,1.0,,,
Troy Deeney,Troy Deeney,100.0,430.0,,,
Jermain Defoe,Jermain Defoe,100.0,230.0,,,
Steven Defour,Steven Defour,100.0,126.0,,,
Damien Delaney,Damien Delaney,100.0,52.0,,,
Fabian Delph,Fabian Delph,100.0,147.0,,,
Mousa Dembélé,Mousa Dembélé,100.0,142.0,,,
Jason Denayer,Jason Denayer,100.0,56.0,,,
Mike van der Hoorn,Mike van der Hoorn,100.0,90.0,,,
Gerard Deulofeu,Gerard Deulofeu,100.0,259.0,,,
Eric Dier,Eric Dier,100.0,577.0,,,
Adama Diomande,Adama Diomande,100.0,42.0,,,
Papy Djilobodji,Papy Djilobodji,100.0,24.0,,,
Abdoulaye Doucouré,Abdoulaye Doucouré,100.0,764.0,,,
Stewart Downing,Stewart Downing,100.0,77.0,,,
Danny Drinkwater,Daniel Drinkwater,100.0,99.0,,,
Nathan Dyer,Nathan Dyer,100.0,53.0,,,
Ovie Ejaria,Oviemuno Ejaria,85.0,2.0,1.0,,
Omar Elabdellaoui,Omar Elabdellaoui,100.0,13.0,,,
Andrew Eleftheriou,Andrew Eleftheriou,100.0,0.0,,,
Ahmed Elmohamady,Ahmed Elmohamady,100.0,62.0,,,
Mohamed Elneny,Mohamed Elneny,100.0,70.0,,,
Christian Eriksen,Christian Eriksen,100.0,814.0,,,
Bernardo Espinosa,Bernardo Espinosa Zúñiga,95.0,35.0,,,
Jonny Evans,Jonny Evans,100.0,575.0,,,
Łukasz Fabiański,Lukasz Fabianski,88.0,919.0,1.0,,
Fábio,Fabio Pereira da Silva,100.0,58.0,,,
Cesc Fàbregas,Cesc Fàbregas,100.0,216.0,,,
