fbref_id,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated,missing_matchlogs
5f09991f,Patrick van Aanholt,Patrick van Aanholt,100.0,496.0,,,
aff418dc,Charlie Adam,Charlie Adam,100.0,69.0,,,
c7174e81,Albert Adomah,Albert Adomah,100.0,3.0,,,
f76e6b4e,Adrián,Adrián San Miguel del Castillo,100.0,174.0,,,
9a8c6673,Ibrahim Afellay,Ibrahim Afellay,100.0,21.0,,,
b63f4077,Benik Afobe,Benik Afobe,100.0,112.0,,,
4d034881,Sergio Agüero,Sergio Agüero,100.0,715.0,,,
5c374509,Dan Agyei,Daniel Agyei,86.0,3.0,1.0,,
246d153b,Ola Aina,Olu Aina,88.0,149.0,1.0,,
eaeca114,Nathan Aké,Nathan Aké,100.0,628.0,,,
b827d5b3,Marc Albrighton,Marc Albrighton,100.0,434.0,,,
f7d50789,Toby Alderweireld,Toby Alderweireld,100.0,455.0,,,
cd1acf9d,Trent Alexander-Arnold,Trent Alexander-Arnold,100.0,1125.0,,,
9feb8f24,Joe Allen,Joe Allen,100.0,227.0,,,
cea4ee8f,Dele Alli,Dele Alli,100.0,678.0,,,
af615123,Ryan Allsop,Ryan Allsop,100.0,3.0,,,
f4290206,Marcos Alonso,Marcos Alonso,100.0,788.0,,,
1a4ef233,Daniel Amartey,Daniel Amartey,100.0,206.0,,,
d70a2141,Jordi Amat,Jordi Amat,100.0,21.0,,,
7c2a398c,Nordin Amrabat,Nordin Amrabat,100.0,71.0,,,
4aed5c19,Victor Anichebe,Victor Anichebe,100.0,48.0,,,
ac05f970,Michail Antonio,Michail Antonio,100.0,839.0,,,
c55e973d,Ikechi Anya,Ikechi Anya,100.0,1.0,,,
6dc73abd,Álvaro Arbeloa,Álvaro Arbeloa,100.0,0.0,,,
b1313ec4,Scott Arfield,Scott Arfield,100.0,125.0,,,
00459419,Marko Arnautović,Marko Arnautovic,94.0,378.0,,,
2f4c5a52,Harry Arter,Harry Arter,100.0,159.0,,,
13e827f8,Joel Asoro,Joel Asoro,100.0,1.0,,,
8d228291,Charlie Austin,Charlie Austin,100.0,185.0,,,
302560a0,Daniel Ayala,Daniel Ayala,100.0,31.0,,,
5dbefa9d,André Ayew,André Ayew,100.0,177.0,,,
da052c14,Jordan Ayew,Jordan Ayew,100.0,684.0,,,
53cad200,César Azpilicueta,César Azpilicueta,100.0,878.0,,,
a1232f4e,Eric Bailly,Eric Bailly,100.0,218.0,,,
b18095b6,Leighton Baines,Leighton Baines,100.0,238.0,,,
