season,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicates
2016-2017,Aaron Cresswell,Aaron Cresswell,100,60.0,,
2016-2017,Aaron Lennon,Aaron Lennon,100,22.0,,
2016-2017,,Aaron Ramsdale,,0.0,,
2016-2017,Aaron Ramsey,Aaron Ramsey,100,56.0,,
2016-2017,,Aaron Wan-Bissaka,,0.0,,
2016-2017,Abdoulaye Doucouré,Abdoulaye Doucouré,100,38.0,,
2016-2017,,Abdul Rahman Baba,,0.0,,
2016-2017,Abel Hernández,Abel Hernández,100,72.0,,
2016-2017,Adam Clayton,Adam Clayton,100,70.0,,
2016-2017,Adam Federici,Adam Federici,100,8.0,,
2016-2017,Adam Forshaw,Adam Forshaw,100,77.0,,
2016-2017,Adam Lallana,Adam Lallana,100,139.0,,
2016-2017,,Adam Matthews,,0.0,,
2016-2017,,Adam Reach,,0.0,,
2016-2017,Adam Smith,Adam Smith,100,104.0,,
2016-2017,Adama Diomande,Adama Diomande,100,42.0,,
2016-2017,Adama Traoré,Adama Traoré,100,52.0,,
2016-2017,Ademola Lookman,Ademola Lookman,100,16.0,,
2016-2017,Adlène Guedioura,Adlène Guédioura,94,26.0,,
2016-2017,Adnan Januzaj,Adnan Januzaj,100,49.0,,
2016-2017,Adrian Mariappa,Adrian Mariappa,100,15.0,,
2016-2017,Adrián,Adrián San Miguel del Castillo,100,64.0,,
2016-2017,Ahmed Elmohamady,Ahmed Elmohamady,100,62.0,,
2016-2017,Ahmed Musa,Ahmed Musa,100,39.0,,
2016-2017,Aiden O'Neill,Aiden O'Neill,100,3.0,,
2016-2017,Ainsley Maitland-Niles,Ainsley Maitland-Niles,100,1.0,,
2016-2017,Albert Adomah,Albert Adomah,100,3.0,,
2016-2017,Alberto Moreno,Alberto Moreno,100,15.0,,
2016-2017,Aleix García,Aleix García Serrano,90,4.0,,
2016-2017,Aleksandar Kolarov,Aleksandar Kolarov,100,95.0,,
2016-2017,,Alex Baptiste,,0.0,,
2016-2017,,Alex Bruce,,0.0,,
2016-2017,Alex Iwobi,Alex Iwobi,100,89.0,,
2016-2017,,Alex McCarthy,,0.0,,
2016-2017,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,100,83.0,,
2016-2017,,Alex Palmer,,0.0,,
2016-2017,,Alex Pike,,0.0,,
2016-2017,,Alex Pritchard,,0.0,,
2016-2017,,Alexander Manninger,,0.0,,
2016-2017,Alexis Sánchez,Alexis Sánchez,100,264.0,,
2016-2017,Alfie Mawson,Alfie Mawson,100,94.0,,
2016-2017,Alfred N'Diaye,Alfred N'Diaye,100,34.0,,
2016-2017,,Allan McGregor,,0.0,,
2016-2017,Allan Nyom,Allan-Roméo Nyom,86,74.0,True,
2016-2017,,Almen Abdi,,0.0,,
2016-2017,Ander Herrera,Ander Herrera,100,97.0,,
2016-2017,Andre Gray,Andre Gray,100,108.0,,
2016-2017,Andrea Ranocchia,Andrea Ranocchia,100,55.0,,
2016-2017,,Andreas Pereira,,0.0,,
2016-2017,Andrew Eleftheriou,Andrew Eleftheriou,100,0.0,,
2016-2017,Andrew Robertson,Andrew Robertson,100,73.0,,
2016-2017,Andrew Surman,Andrew Surman,100,44.0,,
2016-2017,Andros Townsend,Andros Townsend,100,116.0,,
2016-2017,André Ayew,André Ayew,100,89.0,,
2016-2017,Andy Carroll,Andy Carroll,100,69.0,,
2016-2017,Andy King,Andy King,100,41.0,,
2016-2017,Angel Gomes,Angel Gomes,100,1.0,,
2016-2017,Àngel Rangel,Angel Rangel,92,26.0,,
2016-2017,Angelo Ogbonna,Angelo Ogbonna,100,45.0,,
2016-2017,,Angus Gunn,,0.0,,
2016-2017,Anthony Martial,Anthony Martial,100,95.0,,
2016-2017,Antonio Barragán,Antonio Barragán,100,71.0,,
2016-2017,Antonio Valencia,Antonio Valencia,100,120.0,,
2016-2017,Arouna Koné,Arouna Koné,100,6.0,,
2016-2017,Arthur Masuaku,Arthur Masuaku,100,34.0,,
2016-2017,Artur Boruc,Artur Boruc,100,120.0,,
2016-2017,Ashley Barnes,Ashley Barnes,100,81.0,,
2016-2017,Ashley Fletcher,Ashley Fletcher,100,16.0,,
2016-2017,Ashley Westwood,Ashley Westwood,100,13.0,,
2016-2017,Ashley Williams,Ashley Williams,100,127.0,,
2016-2017,Ashley Young,Ashley Young,100,26.0,,
2016-2017,Asmir Begović,Asmir Begovic,92,2.0,,
2016-2017,Axel Tuanzebe,Axel Tuanzebe,100,14.0,,
2016-2017,Bacary Sagna,Bacary Sagna,100,55.0,,
2016-2017,,Bafétimbi Gomis,,0.0,,
2016-2017,Baily Cargill,Baily Cargill,100,1.0,,
2016-2017,Bakary Sako,Bakary Sako,100,7.0,,
2016-2017,,Bartosz Kapustka,,0.0,,
2016-2017,,Bastian Schweinsteiger,,0.0,,
2016-2017,Ben Chilwell,Ben Chilwell,100,19.0,,
2016-2017,Ben Davies,Ben Davies,100,90.0,,
2016-2017,Ben Foster,Ben Foster,100,113.0,,
2016-2017,Ben Gibson,Ben Gibson,100,121.0,,
2016-2017,,Ben Hamer,,0.0,,
2016-2017,,Ben Hinchcliffe,,0.0,,
2016-2017,Ben Mee,Ben Mee,100,94.0,,
2016-2017,Ben Watson,Ben Watson,100,1.0,,
2016-2017,Ben Woodburn,Ben Woodburn,100,5.0,,
2016-2017,,Ben Wynter,,0.0,,
2016-2017,Benik Afobe,Benik Afobe,100,88.0,,
2016-2017,Bernardo Espinosa,Bernardo Espinosa Zúñiga,95,35.0,,
2016-2017,,Bertrand Traore,,0.0,,
2016-2017,Billy Jones,Billy Jones,100,56.0,,
2016-2017,,Boaz Myhill,,0.0,,
2016-2017,Bojan Krkić,Bojan Krkic,91,30.0,,
2016-2017,Borja Bastón,Borja Bastón,100,32.0,,
2016-2017,Brad Guzan,Bradley Guzan,87,36.0,True,
2016-2017,Brad Smith,Bradley Smith,87,4.0,True,
2016-2017,Brandon Mason,Brandon Mason,100,1.0,,
2016-2017,Branislav Ivanović,Branislav Ivanovic,94,23.0,,
2016-2017,Brendan Galloway,Brendan Galloway,100,9.0,,
2016-2017,,Brian Lenihan,,0.0,,
2016-2017,,Brice Dja Djédjé,,0.0,,
2016-2017,Bruno Martins Indi,Bruno Martins Indi,100,106.0,,
2016-2017,Bryan Oviedo,Bryan Oviedo,100,29.0,,
2016-2017,,Callum McManaman,,0.0,,
2016-2017,Callum Wilson,Callum Wilson,100,63.0,,
2016-2017,Calum Chambers,Calum Chambers,100,83.0,,
2016-2017,,Cameron Borthwick-Jackson,,0.0,,
2016-2017,,Cameron Brannagan,,0.0,,
2016-2017,,Cameron Carter-Vickers,,0.0,,
2016-2017,Carl Jenkinson,Carl Jenkinson,100,2.0,,
2016-2017,,Carl Stewart,,0.0,,
2016-2017,,Carlos De Pena,,0.0,,
2016-2017,Cesc Fàbregas,Cesc Fàbregas,100,121.0,,
2016-2017,Charlie Adam,Charlie Adam,100,59.0,,
2016-2017,Charlie Austin,Charlie Austin,100,62.0,,
2016-2017,Charlie Daniels,Charlie Daniels,100,134.0,,
2016-2017,,Charlie Rowan,,0.0,,
2016-2017,Cheikhou Kouyaté,Cheikhou Kouyaté,100,79.0,,
2016-2017,Chris Brunt,Chris Brunt,100,99.0,,
2016-2017,,Chris Long,,0.0,,
2016-2017,Chris Smalling,Chris Smalling,100,52.0,,
2016-2017,Christian Benteke,Christian Benteke,100,136.0,,
2016-2017,Christian Eriksen,Christian Eriksen,100,218.0,,
2016-2017,Christian Fuchs,Christian Fuchs,100,104.0,,
2016-2017,Christian Kabasele,Christian Kabasele,100,35.0,,
2016-2017,,Chuba Akpom,,0.0,,
2016-2017,Lee Chung-yong,Chung-yong Lee,95,24.0,,
2016-2017,Claudio Bravo,Claudio Bravo,100,73.0,,
2016-2017,Claudio Yacob,Claudio Yacob,100,54.0,,
2016-2017,,Clinton N'Jie,,0.0,,
2016-2017,,Connor Randall,,0.0,,
2016-2017,,Connor Roberts,,0.0,,
2016-2017,Connor Wickham,Connor Wickham,100,18.0,,
