season,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated
2021-2022,Max Aarons,Max Aarons,100,55.0,,
2021-2022,Che Adams,Che Adams,100,103.0,,
2021-2022,Rayan Aït Nouri,Rayan Ait Nouri,93,87.0,,
2021-2022,Kristoffer Ajer,Kristoffer Ajer,100,81.0,,
2021-2022,Nathan Aké,Nathan Aké,100,54.0,,
2021-2022,Marc Albrighton,Marc Albrighton,100,40.0,,
2021-2022,Thiago Alcántara,Thiago Alcántara do Nascimento,100,69.0,,
2021-2022,Trent Alexander-Arnold,Trent Alexander-Arnold,100,208.0,,
2021-2022,Alisson,Alisson Ramses Becker,90,176.0,,
2021-2022,Allan,Allan Marques Loureiro,100,58.0,,
2021-2022,Dele Alli,Dele Alli,100,35.0,,
2021-2022,Miguel Almirón,Miguel Almirón,100,59.0,,
2021-2022,Marcos Alonso,Marcos Alonso,100,128.0,,
2021-2022,Steven Alzate,Steven Alzate,100,13.0,,
2021-2022,Daniel Amartey,Daniel Amartey,100,55.0,,
2021-2022,Joachim Andersen,Joachim Andersen,100,124.0,,
2021-2022,Michail Antonio,Michail Antonio,100,140.0,,
2021-2022,Cameron Archer,Cameron Archer,100,3.0,,
2021-2022,Alphonse Areola,Alphonse Areola,100,2.0,,
2021-2022,Adam Armstrong,Adam Armstrong,100,57.0,,
2021-2022,Stuart Armstrong,Stuart Armstrong,100,57.0,,
2021-2022,Kepa Arrizabalaga,Kepa Arrizabalaga,100,19.0,,
2021-2022,Harrison Ashby,Harrison Ashby,100,1.0,,
2021-2022,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,100,44.0,,
2021-2022,Jordan Ayew,Jordan Ayew,100,77.0,,
2021-2022,Luke Ayling,Luke Ayling,100,55.0,,
2021-2022,César Azpilicueta,César Azpilicueta,100,87.0,,
2021-2022,Daniel Bachmann,Daniel Bachmann,100,25.0,,
2021-2022,Leon Bailey,Leon Bailey,100,37.0,,
2021-2022,Eric Bailly,Eric Bailly,100,2.0,,
2021-2022,Folarin Balogun,Folarin Balogun,100,2.0,,
2021-2022,Patrick Bamford,Patrick Bamford,100,28.0,,
2021-2022,Shandon Baptiste,Shandon Baptiste,100,35.0,,
2021-2022,Ross Barkley,Ross Barkley,100,14.0,,
2021-2022,Ashley Barnes,Ashley Barnes,100,32.0,,
2021-2022,Harvey Barnes,Harvey Barnes,100,137.0,,
2021-2022,Lewis Bate,Lewis Bate,100,3.0,,
