season,fbref_name,fpl_name,fuzzy_score
2016-2017,Aaron Cresswell,Aaron Cresswell,100.0
2016-2017,Aaron Lennon,Aaron Lennon,100.0
2016-2017,Aaron Ramsey,Aaron Ramsey,100.0
2016-2017,Abdoulaye Doucouré,Abdoulaye Doucouré,100.0
2016-2017,,Abdul Rahman Baba,
2016-2017,Abel Hernández,Abel Hernández,100.0
2016-2017,Adama Diomande,Adama Diomande,100.0
2016-2017,Adam Clayton,Adam Clayton,100.0
2016-2017,Adam Federici,Adam Federici,100.0
2016-2017,Adam Forshaw,Adam Forshaw,100.0
2016-2017,Adam Lallana,Adam Lallana,100.0
2016-2017,,Adam Matthews,
2016-2017,,Adam Reach,
2016-2017,Adam Smith,Adam Smith,100.0
2016-2017,Adlène Guedioura,Adlène Guédioura,94.0
2016-2017,Adnan Januzaj,Adnan Januzaj,100.0
2016-2017,Adrián,Adrián San Miguel del Castillo,90.0
2016-2017,Miguel Britos,Adrián San Miguel del Castillo,86.0
2016-2017,Ahmed Elmohamady,Ahmed Elmohamady,100.0
2016-2017,Ahmed Musa,Ahmed Elmohamady,86.0
2016-2017,Ahmed Elmohamady,Ahmed Musa,86.0
2016-2017,Ahmed Musa,Ahmed Musa,100.0
2016-2017,Alberto Moreno,Alberto Moreno,100.0
2016-2017,Albert Adomah,Albert Adomah,100.0
2016-2017,Aleksandar Kolarov,Aleksandar Kolarov,100.0
2016-2017,,Alexander Manninger,
2016-2017,Alexis Sánchez,Alexis Sánchez,100.0
2016-2017,Alex Oxlade-Chamberlain,Alex Baptiste,86.0
2016-2017,Alex Oxlade-Chamberlain,Alex Bruce,86.0
2016-2017,Alex Iwobi,Alex Iwobi,100.0
2016-2017,James McCarthy,Alex McCarthy,81.0
2016-2017,Alex Iwobi,Alex Oxlade-Chamberlain,86.0
2016-2017,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,100.0
2016-2017,,Alex Pritchard,
2016-2017,Allan Nyom,Allan-Roméo Nyom,86.0
2016-2017,,Allan McGregor,
2016-2017,,Almen Abdi,
2016-2017,Ander Herrera,Ander Herrera,100.0
2016-2017,,Andreas Pereira,
2016-2017,Andrew Robertson,Andrew Robertson,100.0
2016-2017,Andrew Surman,Andrew Surman,100.0
2016-2017,Andre Gray,Andre Gray,100.0
2016-2017,Andros Townsend,Andros Townsend,100.0
2016-2017,André Ayew,André Ayew,100.0
2016-2017,Andy Carroll,Andy Carroll,100.0
2016-2017,Andy King,Andy King,100.0
2016-2017,Angelo Ogbonna,Angelo Ogbonna,100.0
2016-2017,Àngel Rangel,Angel Rangel,92.0
2016-2017,Anthony Martial,Anthony Martial,100.0
2016-2017,Antonio Barragán,Antonio Barragán,100.0
2016-2017,Antonio Valencia,Antonio Valencia,100.0
2016-2017,Arouna Koné,Arouna Koné,100.0
2016-2017,Arthur Masuaku,Arthur Masuaku,100.0
2016-2017,Artur Boruc,Artur Boruc,100.0
2016-2017,Ashley Barnes,Ashley Barnes,100.0
2016-2017,Ashley Williams,Ashley Williams,100.0
2016-2017,Ashley Young,Ashley Young,100.0
2016-2017,Asmir Begović,Asmir Begovic,92.0
2016-2017,Bacary Sagna,Bacary Sagna,100.0
2016-2017,,Bafétimbi Gomis,
2016-2017,Bakary Sako,Bakary Sako,100.0
2016-2017,Dele Alli,Bamidele Alli,82.0
2016-2017,,Bartosz Kapustka,
2016-2017,,Bastian Schweinsteiger,
2016-2017,Benik Afobe,Benik Afobe,100.0
2016-2017,Ben Chilwell,Benjamin Chilwell,83.0
2016-2017,Ben Davies,Ben Davies,100.0
2016-2017,Ben Foster,Ben Foster,100.0
2016-2017,Ben Gibson,Ben Gibson,100.0
2016-2017,Ben Chilwell,Ben Mee,86.0
2016-2017,Ben Mee,Ben Mee,100.0
2016-2017,Ben Woodburn,Ben Mee,86.0
2016-2017,Ben Watson,Ben Watson,100.0
2016-2017,Bernardo Espinosa,Bernardo Espinosa Zúñiga,95.0
2016-2017,Juan Zúñiga,Bernardo Espinosa Zúñiga,86.0
2016-2017,,Bertrand Traore,
2016-2017,Billy Jones,Billy Jones,100.0
2016-2017,,Boaz Myhill,
2016-2017,Bojan Krkić,Bojan Krkic,91.0
2016-2017,Borja Bastón,Borja Bastón,100.0
2016-2017,Brad Guzan,Bradley Guzan,87.0
2016-2017,Brad Smith,Bradley Smith,87.0
2016-2017,Branislav Ivanović,Branislav Ivanovic,94.0
2016-2017,Brendan Galloway,Brendan Galloway,100.0
2016-2017,,Brian Lenihan,
2016-2017,,Brice Dja Djédjé,
2016-2017,Bryan Oviedo,Bryan Oviedo,100.0
2016-2017,,Callum McManaman,
2016-2017,Callum Wilson,Callum Wilson,100.0
2016-2017,Calum Chambers,Calum Chambers,100.0
2016-2017,Geoff Cameron,Cameron Borthwick-Jackson,86.0
2016-2017,,Cameron Brannagan,
2016-2017,Geoff Cameron,Cameron Carter-Vickers,86.0
2016-2017,,Carlos De Pena,
2016-2017,Carl Jenkinson,Carl Jenkinson,100.0
2016-2017,Cesc Fàbregas,Cesc Fàbregas,100.0
2016-2017,Charlie Adam,Charlie Adam,100.0
2016-2017,Charlie Austin,Charlie Austin,100.0
2016-2017,Charlie Daniels,Charlie Daniels,100.0
2016-2017,Cheikhou Kouyaté,Cheikhou Kouyaté,100.0
2016-2017,Christian Benteke,Christian Benteke,100.0
2016-2017,Christian Eriksen,Christian Eriksen,100.0
2016-2017,Christian Fuchs,Christian Fuchs,100.0
2016-2017,Christian Kabasele,Christian Kabasele,100.0
2016-2017,Chris Brunt,Chris Brunt,100.0
2016-2017,,Chris Long,
2016-2017,Chris Smalling,Chris Smalling,100.0
2016-2017,,Chuba Akpom,
2016-2017,Lee Chung-yong,Chung-yong Lee,95.0
2016-2017,Lee Grant,Chung-yong Lee,86.0
2016-2017,Claudio Yacob,Claudio Yacob,100.0
2016-2017,Georges-Kévin N'Koudou,Clinton N'Jie,86.0
2016-2017,,Connor Randall,
2016-2017,Connor Wickham,Connor Wickham,100.0
2016-2017,Costel Pantilimon,Costel Pantilimon,100.0
2016-2017,Craig Cathcart,Craig Cathcart,100.0
2016-2017,Craig Dawson,Craig Dawson,100.0
2016-2017,Craig Gardner,Craig Gardner,100.0
2016-2017,Cristhian Stuani,Cristhian Stuani,100.0
2016-2017,,Cristian Gamboa,
2016-2017,Cuco Martina,Cuco Martina,100.0
2016-2017,Curtis Davies,Curtis Davies,100.0
2016-2017,Cédric Soares,Cédric Soares,100.0
2016-2017,César Azpilicueta,César Azpilicueta,100.0
2016-2017,,Dael Fry,
2016-2017,Daley Blind,Daley Blind,100.0
2016-2017,Damien Delaney,Damien Delaney,100.0
2016-2017,Daniel Amartey,Daniel Amartey,100.0
2016-2017,Daniel Ayala,Daniel Ayala,100.0
2016-2017,Danny Drinkwater,Daniel Drinkwater,85.0
2016-2017,,Daniel Lafferty,
2016-2017,Daniel Sturridge,Daniel Sturridge,100.0
2016-2017,Danny Drinkwater,Danny Ings,86.0
2016-2017,Danny Drinkwater,Danny Rose,86.0
2016-2017,Danny Rose,Danny Rose,100.0
2016-2017,Danny Simpson,Danny Simpson,100.0
2016-2017,Danny Welbeck,Danny Welbeck,100.0
2016-2017,Dan Gosling,Dan Gosling,100.0
2016-2017,Darren Fletcher,Darren Fletcher,100.0
2016-2017,Darren Randolph,Darren Randolph,100.0
2016-2017,Darron Gibson,Darron Gibson,100.0
2016-2017,David de Gea,David de Gea,100.0
2016-2017,David Jones,David Jones,100.0
2016-2017,David Meyler,David Meyler,100.0
2016-2017,David Nugent,David Nugent,100.0
2016-2017,David Ospina,David Ospina,100.0
2016-2017,David Silva,David Silva,100.0
2016-2017,,DeAndre Yedlin,
2016-2017,Dean Marney,Dean Marney,100.0
2016-2017,Dejan Lovren,Dejan Lovren,100.0
2016-2017,Demarai Gray,Demarai Gray,100.0
2016-2017,Diafra Sakho,Diafra Sakho,100.0
2016-2017,Diego Costa,Diego Da Silva Costa,86.0
2016-2017,David Silva,Diego Da Silva Costa,86.0
2016-2017,,Dimitrios Konstantopoulos,
2016-2017,Dimitri Payet,Dimitri Payet,100.0
2016-2017,,Dionatan do Nascimento Teixeira,
2016-2017,Divock Origi,Divock Origi,100.0
2016-2017,Donald Love,Donald Love,100.0
2016-2017,Duncan Watmore,Duncan Watmore,100.0
2016-2017,,Dusan Kuciak,
2016-2017,Dušan Tadić,Dusan Tadic,82.0
2016-2017,Eden Hazard,Eden Hazard,100.0
2016-2017,Eldin Jakupović,Eldin Jakupovic,93.0
2016-2017,,Eliaquim Mangala,
