week,id,name,pos,type,team,buy_price,sell_price,predicted_xP,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
2,238,Meslier,GKP,1,Leeds,0.0,0.0,3.92,1,1,-1,0,0,0,0,1,3.92050819
2,306,Cancelo,DEF,2,Man City,0.0,0.0,6.23,1,1,-1,0,1,0,0,1,6.233344017
2,285,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,6.08,1,1,-1,0,0,0,0,1,6.081759945
2,284,Robertson,DEF,2,Liverpool,7.0,0.0,5.2,1,1,-1,0,0,1,0,1,5.201717748
2,33,Digne,DEF,2,Aston Villa,0.0,0.0,4.32,1,1,-1,0,0,0,0,1,4.324382284
2,106,Dunk,DEF,2,Brighton,0.0,0.0,3.85,1,1,-1,0,0,0,0,1,3.851740555
2,283,Salah,MID,3,Liverpool,13.0,0.0,6.56,1,1,-1,1,0,1,0,2,13.110810898
2,13,Saka,MID,3,Arsenal,0.0,0.0,4.85,1,1,-1,0,0,0,0,1,4.846768677
2,19,Martinelli,MID,3,Arsenal,0.0,0.0,4.42,1,1,-1,0,0,0,0,1,4.417838707
2,28,Jesus,FWD,4,Arsenal,0.0,0.0,5.16,1,1,-1,0,0,0,0,1,5.158858043
2,227,Bamford,FWD,4,Leeds,0.0,0.0,4.69,1,1,-1,0,0,0,0,1,4.687905734
2,182,Pickford,GKP,1,Everton,0.0,0.0,3.5,1,0,0,0,0,0,0,0,0.0
2,276,Matip,DEF,2,Liverpool,0.0,6.0,1.79,0,0,-1,0,0,0,1,0,0.0
2,428,Son,MID,3,Spurs,0.0,12.0,3.88,0,0,-1,0,0,0,1,0,0.0
2,261,Maddison,MID,3,Leicester,0.0,0.0,3.72,1,0,1,0,0,0,0,0,0.0
2,346,Andreas,MID,3,Fulham,0.0,0.0,2.56,1,0,2,0,0,0,0,0,0.0
2,380,Taylor,FWD,4,Nott'm Forest,0.0,0.0,1.33,1,0,3,0,0,0,0,0,0.0
3,182,Pickford,GKP,1,Everton,0.0,0.0,4.55,1,1,-1,0,0,0,0,1,4.550940354
3,306,Cancelo,DEF,2,Man City,0.0,0.0,4.56,1,1,-1,0,0,0,0,1,4.564623768
3,285,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,4.55,1,1,-1,0,0,0,0,1,4.545389938
3,284,Robertson,DEF,2,Liverpool,0.0,0.0,3.83,1,1,-1,0,0,0,0,1,3.833163371
3,33,Digne,DEF,2,Aston Villa,0.0,0.0,3.59,1,1,-1,0,0,0,0,1,3.585389531
3,261,Maddison,MID,3,Leicester,0.0,0.0,5.63,1,1,-1,1,0,0,0,2,11.269486366
3,283,Salah,MID,3,Liverpool,0.0,0.0,5.55,1,1,-1,0,1,0,0,1,5.547499042
3,13,Saka,MID,3,Arsenal,0.0,0.0,4.59,1,1,-1,0,0,0,0,1,4.592015211
3,19,Martinelli,MID,3,Arsenal,0.0,0.0,3.8,1,1,-1,0,0,0,0,1,3.798638799
3,28,Jesus,FWD,4,Arsenal,0.0,0.0,4.99,1,1,-1,0,0,0,0,1,4.985133406
3,80,Toney,FWD,4,Brentford,7.0,0.0,4.17,1,1,-1,0,0,1,0,1,4.174778738
3,238,Meslier,GKP,1,Leeds,0.0,0.0,3.0,1,0,0,0,0,0,0,0,0.0
3,106,Dunk,DEF,2,Brighton,0.0,0.0,3.11,1,0,1,0,0,0,0,0,0.0
3,346,Andreas,MID,3,Fulham,0.0,0.0,2.87,1,0,2,0,0,0,0,0,0.0
3,227,Bamford,FWD,4,Leeds,0.0,7.5,3.67,0,0,-1,0,0,0,1,0,0.0
3,380,Taylor,FWD,4,Nott'm Forest,0.0,0.0,0.94,1,0,3,0,0,0,0,0,0.0
