pred_pts_fpl_name,fpl_name
Salah,Salah
De Bruyne,De Bruyne
Haaland,Haaland
Son,Son
Kane,Kane
Ronaldo,Ronaldo
Sterling,Sterling
Fernandes,Fernandes
Vardy,Vardy
Aubameyang,Aubameyang
Diogo Jota,Diogo Jota
Darwin,Darwin
Richarlison,Richarlison
Luis Díaz,Luis Díaz
Kulusevski,Kulusevski
Bowen,Bowen
Werner,Werner
Jesus,Jesus
Firmino,Firmino
Foden,Foden
Calvert-Lewin,Calvert-Lewin
Maddison,Maddison
Saka,Saka
Havertz,Havertz
Mount,Mount
Mahrez,Mahrez
Gündogan,Gündogan
Antony,Antony
Alexander-Arnold,Alexander-Arnold
Toney,Toney
Bamford,Bamford
Sancho,Sancho
Watkins,Watkins
Zaha,Zaha
Cancelo,Cancelo
Wilson,Wilson
Antonio,Antonio
Isak,Isak
Bernardo,Bernardo
Barnes,Barnes
Martial,Martial
Jiménez,Jiménez
Grealish,Grealish
Trossard,Trossard
Coutinho,Coutinho
Robertson,Robertson
Scamacca,Scamacca
Martinelli,Martinelli
Nketiah,Nketiah
Trossard,Trossard
Rashford,Rashford
Ødegaard,Ødegaard
Welbeck,Welbeck
Sinisterra,Sinisterra
Ward-Prowse,Ward-Prowse
Ings,Ings
Van Dijk,Van Dijk
Saint-Maximin,Saint-Maximin
Adams,Adams
Maupay,Maupay
Rodrigo,Rodrigo
Tielemans,Tielemans
Eriksen,Eriksen
Harrison,Harrison
Iheanacho,Iheanacho
Álvarez,Álvarez
Maupay,Maupay
James,James
James,James
James,James
Dias,Dias
Joelinton,Joelinton
Guedes,Guedes
Buendía,Buendía
Mbeumo,Mbeumo
Jorginho,Jorginho
Matip,Matip
Johnson,Johnson
Cornet,Cornet
Dennis,Dennis
Chilwell,Chilwell
Wilson,Wilson
Laporte,Laporte
Rodri,Rodri
Awoniyi,Awoniyi
Lucas Moura,Lucas Moura
Jorginho,Jorginho
Fábio Vieira,Fábio Vieira
Solanke,Solanke
Ziyech,Ziyech
Pulisic,Pulisic
Gallagher,Gallagher
Daka,Daka
Lingard,Lingard
Benrahma,Benrahma
Hwang,Hwang
Wood,Wood
Smith Rowe,Smith Rowe
Mac Allister,Mac Allister
Bruno Guimarães,Bruno Guimarães
Wood,Wood
Benteke,Benteke
Gibbs-White,Gibbs-White
Muniz,Muniz
Moore,Moore
Janelt,Janelt
Koulibaly,Koulibaly
Eze,Eze
Townsend,Townsend
Iwobi,Iwobi
Gray,Gray
Kebano,Kebano
De Cordova-Reid,De Cordova-Reid
Aaronson,Aaronson
Ederson,Ederson
A.Armstrong,A.Armstrong
Lloris,Lloris
Højbjerg,Højbjerg
Neves,Neves
Podence,Podence
Adama,Adama
Gibbs-White,Gibbs-White
Willian,Willian
Vinícius,Vinícius
Davis,Davis
Hudson-Odoi,Hudson-Odoi
Dele,Dele
Nørgaard,Nørgaard
Wissa,Wissa
Thiago Silva,Thiago Silva
Olise,Olise
Alisson,Alisson
Fabinho,Fabinho
Carvalho,Carvalho
Stones,Stones
Trippier,Trippier
Aribo,Aribo
Mara,Mara
Bentancur,Bentancur
Soucek,Soucek
Fornals,Fornals
Pépé,Pépé
Redmond,Redmond
McGinn,McGinn
Brooks,Brooks
Lowe,Lowe
Christie,Christie
Billing,Billing
Anthony,Anthony
Lewis-Potter,Lewis-Potter
Mwepu,Mwepu
Broja,Broja
Edouard,Edouard
Mateta,Mateta
Gelhardt,Gelhardt
Henderson,Henderson
Fraser,Fraser
Elyounoussi,Elyounoussi
Lanzini,Lanzini
Damsgaard,Damsgaard
Gordon,Gordon
Ramsey,Ramsey
Thiago,Thiago
Fred,Fred
Van de Beek,Van de Beek
Pope,Pope
McNeil,McNeil
Gordon,Gordon
Gabriel,Gabriel
